route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
R01,cr_transit,1,Northwest Cedar Rapids,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route1.aspx,,
R02,cr_transit,2,Southeast Cedar Rapids/Mt. Vernon Road Hy-Vee,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route2.aspx,,
R03,cr_transit,3,North-Central Cedar Rapids/Council St. Post Office,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route3.aspx,,
R04,cr_transit,4,Northeast Cedar Rapids/Aegon,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route4.aspx,,
R05B,cr_transit,5B,Lindale Mall/Hiawatha,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route5b.aspx,,
R05N,cr_transit,5N,Lindale Mall/North Marion,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route5n.aspx,,
R05S,cr_transit,5S,Lindale Mall/South Marion,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route5s.aspx,,
R06,cr_transit,6,Hiawatha/Walmart,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route6.aspx,,
R07,cr_transit,7,South Cedar Rapids/Kirkwood,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route7.aspx,,
R08,cr_transit,8,Southwest Cedar Rapids/Johnson Ave. Hy-Vee,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route8.aspx,,
R09,cr_transit,9,Southeast Cedar Rapids/Mt. Vernon Road Hy-Vee,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route9.aspx,,
R10,cr_transit,10,Southwest Cedar Rapids/Westdale Mall,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route10.aspx,,
R11,cr_transit,11,South Cedar Rapids/Airport,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route11.aspx,,
R12,cr_transit,12,Southwest Cedar Rapids/Walmart,,3,http://www.cedar-rapids.org/resident-resources/transit/routes/pages/route12.aspx,,